stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\I2P1_Final_project-master\FINAL\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.06282] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06283] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06285] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06286] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06287] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06289] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06290] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06293] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06294] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06297] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06298] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06299] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06300] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06302] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06304] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06305] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06306] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06307] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06308] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06310] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06311] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06312] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06314] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06315] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06316] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06317] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06318] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06320] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06321] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06322] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06323] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06324] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06325] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06327] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06328] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06329] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06330] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06331] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06333] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06334] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06335] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06336] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06337] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06338] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06340] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06341] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06342] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06343] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06345] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06346] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06347] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06349] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06351] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06352] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06354] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06356] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06358] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06359] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06361] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06363] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06364] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06365] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06367] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06368] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06369] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06370] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06371] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06373] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06374] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06375] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06376] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06377] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06379] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06380] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06381] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.06385] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.06408] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.06413] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.09436] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.14734] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.14741] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.14745] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.14751] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.14754] Returning d3d_display: 0000000000eab6b0
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.14755] al_display=0000000000eab6b0
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.14756] al_display->vt=0000000000eab540
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.14779] PathFindOnPath found: C:\windows\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.14781] Calling LoadLibrary C:\windows\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.14830] Loaded C:\windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.14834] Module "d3dx9_43.dll" loaded.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.14838] opening assets/font/vac.otf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.14861] Font assets/font/vac.otf loaded with pixel size 0 x 50.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.14863]     ascent=42.0, descent=-11.0, height=58.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.14865] added dtor for ttf_font 00000000026e5ac0, func 00007ff8beb54c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.14866] opening assets/sound/wings of piano.mp3 rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.31248] added dtor for sample 00000000026e5e50, func 00007ff8beb61a1d
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   1.31264] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   1.31266] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   1.31267] added dtor for voice 00000000026eafb0, func 00007ff8beb65024
dtor     D               dtor.c:196  _al_register_destructor          [   1.31269] added dtor for mixer 00000000026edb10, func 00007ff8beb604dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   1.31270] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   1.31272] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   1.31445] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   1.31450] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   1.31457] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   1.31458] added dtor for sample_instance 00000000026edd50, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31461] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31462] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31464] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31465] added dtor for sample_instance 00000000026ede70, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31466] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31468] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31469] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31470] added dtor for sample_instance 00000000026edf90, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31471] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31472] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31473] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31475] added dtor for sample_instance 00000000026ee0b0, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31476] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31477] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31478] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31479] added dtor for sample_instance 00000000026ee260, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31480] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31482] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31483] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31484] added dtor for sample_instance 00000000026ee380, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31491] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31493] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31495] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31496] added dtor for sample_instance 00000000026ee4a0, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31497] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31498] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31499] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31500] added dtor for sample_instance 00000000026fd810, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31501] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31503] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31504] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31505] added dtor for sample_instance 00000000026fda40, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31506] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31507] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31508] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31509] added dtor for sample_instance 00000000026fdb60, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31510] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31512] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31513] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31514] added dtor for sample_instance 00000000026fdc80, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31515] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31516] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31517] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31518] added dtor for sample_instance 00000000026fdda0, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31520] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31521] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31522] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31523] added dtor for sample_instance 00000000026fdec0, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31524] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31525] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31526] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31527] added dtor for sample_instance 00000000026feb70, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31529] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31530] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31531] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31532] added dtor for sample_instance 00000000026fe810, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31533] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31534] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31535] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31536] added dtor for sample_instance 00000000026fe150, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31537] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31538] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31539] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31540] added dtor for sample_instance 00000000026fe930, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31542] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31543] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31544] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31545] added dtor for sample_instance 00000000026fea50, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31546] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31547] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31548] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31549] added dtor for sample_instance 00000000026fe270, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31550] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31551] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31552] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31554] added dtor for sample_instance 00000000026fedb0, func 00007ff8beb5929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.31555] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31556] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.31557] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.31558] added dtor for sample_instance 00000000026fec90, func 00007ff8beb5929b
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.31559] opening assets/image/osu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.31577] opening assets/image/osu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31590] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31592] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31593] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31594] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31595] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31596] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31597] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31598] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.31599] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.31600] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.31601] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.31602] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.31604] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.31623] added dtor for bitmap 00000000027043a0, func 00007ff8bea31bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.33782] opening assets/image/gameinfo.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.33801] opening assets/image/gameinfo.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33811] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33812] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33814] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33815] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33816] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33817] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33818] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33819] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.33820] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.33821] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.33822] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.33824] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.33825] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.33850] added dtor for bitmap 00000000027008a0, func 00007ff8bea31bea
audio-dsound D           dsound.cpp:528  _dsound_stop_voice               [   1.36866] Stopping voice
audio-dsound D           dsound.cpp:545  _dsound_stop_voice               [   1.36873] Joining thread
audio-dsound D           dsound.cpp:551  _dsound_stop_voice               [   1.36982] Joined thread
audio-dsound D           dsound.cpp:553  _dsound_stop_voice               [   1.36989] Destroying thread
audio-dsound D           dsound.cpp:555  _dsound_stop_voice               [   1.36991] Thread destroyed
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [   1.36992] Releasing buffer
audio-dsound I           dsound.cpp:566  _dsound_stop_voice               [   1.36994] Voice stopped
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   1.36995] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   1.36996] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   1.37006] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   1.37010] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   1.37017] Voice started
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.37020] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.37022]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.37023]  0.000000 0.707107
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.37025] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.37027]  0.070711 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.37029]  0.000000 0.070711
dtor     D               dtor.c:196  _al_register_destructor          [   1.37031] added dtor for queue 00000000026fd550, func 00007ff8bea5c5dc
dtor     D               dtor.c:196  _al_register_destructor          [   1.37591] added dtor for timer 000000000271fea0, func 00007ff8bea6fb3b
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.37604] opening assets/image/icon.jpg rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.37625] opening assets/image/icon.jpg rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37645] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37648] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37650] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37652] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37653] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37655] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37656] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37658] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.37659] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.37661] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.37662] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.37665] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.37666] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.37711] added dtor for bitmap 0000000002710e70, func 00007ff8bea31bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38005] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38008] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38009] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38011] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38012] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38013] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38014] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38015] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38016] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.38017] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.38019] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.38020] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.38021] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.38032] added dtor for bitmap 00000000027b5cc0, func 00007ff8bea31bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.38305] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.38311] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.38840] removed dtor for bitmap 00000000027b5cc0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38945] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38952] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38955] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38957] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38958] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38960] Fake format
